Period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income
Q1_Current,495183.0,-375238.0,119945.0,-79467.0,72527.0,33077.0
Q1_Current,605644.0,-476171.0,129473.0,-53223.0,81051.0,60430.0
Q1_Current,693255.0,-525478.0,167777.0,-58063.0,111015.0,91131.0
Q1_Current,522442.0,-419730.0,102712.0,-46063.0,0.0,0.0
Q1_Current,606746.0,-460266.0,146480.0,-64074.0,0.0,0.0
Q1_Current,691496.0,-510768.0,180728.0,-67752.0,0.0,0.0
Q1_Current,6.0,0.0,1.0,-80723.0,0.0,0.0
Q1_Current,745511.0,-501001.0,0.0,-41855.0,0.0,0.0
Q1_Current,878450.0,-576800.0,0.0,-45320.0,0.0,0.0
Q1_Current,1063039.0,-689054.0,373985.0,-150944.0,0.0,0.0
Q1_Current,1.0,0.0,3.0,0.0,0.0,0.0
Q1_Current,1.0,-849098.0,0.0,-147353.0,0.0,0.0
Q1_Current,875553.0,-608048.0,267505.0,-94844.0,0.0,0.0
Q1_Current,1400300.0,-955738.0,444562.0,0.0,0.0,0.0
Q1_Current,1604137.0,-1037979.0,1032840.0,-572884.0,0.0,0.0
Q1_Current,2767931.0,0.0,1032840.0,-580822.0,0.0,0.0
Q1_Current,1474458.0,0.0,198491.0,0.0,0.0,0.0
Q1_Current,1682540.0,0.0,0.0,0.0,0.0,0.0
