company,filename,page,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income
REXP,771_1338284920863.pdf,2,2023,495183.0,375238.0,119945.0,-43125.0,72527.0,33077.0
REXP,771_1338284920863.pdf,3,2023,191793.0,158666.0,33127.0,-7764.0,2081.0,-18516.0
REXP,771_1344331016796.pdf,2,2023,605644.0,476171.0,129473.0,-35432.0,81051.0,60430.0
REXP,771_1344331016796.pdf,3,2023,251174.0,202405.0,48769.0,-12807.0,31321.0,20699.0
REXP,771_1352889712126.pdf,2,2023,693255.0,525478.0,167777.0,-38446.0,111015.0,91131.0
REXP,771_1352889712126.pdf,3,2023,261870.0,204612.0,57258.0,-12188.0,34382.0,25355.0
REXP,771_1360317056247.pdf,2,2023,522442.0,419730.0,102712.0,-30022.0,132734.0,132734.0
REXP,771_1360317056247.pdf,3,2023,179823.0,147262.0,32561.0,-9333.0,41894.0,41894.0
REXP,771_1370005051934.pdf,2,2023,4.0,376260.0,-376256.0,-21050.0,-355206.0,-355206.0
REXP,771_1370005051934.pdf,3,2023,151031.0,108179.0,42852.0,-526.0,43378.0,43378.0
REXP,771_1370005051934.pdf,12,3333,1.0,331367.5523809524,225633.08571428573,3.0,272631.9903846154,210744.94339622642
REXP,771_1376474098687.pdf,2,2023,606746.0,460266.0,146480.0,-37387.0,183867.0,183867.0
REXP,771_1376474098687.pdf,3,2023,236675.0,185748.0,50927.0,-10925.0,61852.0,61852.0
REXP,771_1376474098687.pdf,10,2023,-277387.0,331367.5523809524,225633.08571428573,-47961.723809523806,272631.9903846154,210744.94339622642
REXP,771_1376474098687.pdf,11,2012,318123.0,331367.5523809524,225633.08571428573,-47961.723809523806,272631.9903846154,210744.94339622642
REXP,771_1376474098687.pdf,12,2012,605644.0,476171.0,129473.0,-17791.0,147264.0,147264.0
REXP,771_1384335593557.pdf,2,2023,691496.0,510768.0,180728.0,-43196.0,223924.0,223924.0
REXP,771_1384335593557.pdf,3,2023,279350.0,207512.0,71838.0,-13928.0,85766.0,85766.0
REXP,771_1384335593557.pdf,10,2012,-225761.0,331367.5523809524,225633.08571428573,-47961.723809523806,272631.9903846154,210744.94339622642
REXP,771_1384335593557.pdf,11,2012,343478.0,331367.5523809524,225633.08571428573,-47961.723809523806,272631.9903846154,210744.94339622642
REXP,771_1384335593557.pdf,12,2012,1298899.0,1001649.0,297250.0,-73878.0,371128.0,371128.0
REXP,771_1392283147784.pdf,2,2023,5.0,418900.0,-418895.0,-40071.0,-378824.0,-378824.0
REXP,771_1392283147784.pdf,3,2023,171479.0,1.0,171478.0,-10699.0,182177.0,182177.0
REXP,771_1392283147784.pdf,10,2012,7.0,331367.5523809524,225633.08571428573,-47961.723809523806,272631.9903846154,210744.94339622642
REXP,771_1392283147784.pdf,11,2012,3.0,331367.5523809524,225633.08571428573,-47961.723809523806,272631.9903846154,210744.94339622642
REXP,771_1392283147784.pdf,12,2012,1.0,4.0,-3.0,-47961.723809523806,272631.9903846154,210744.94339622642
REXP,771_1401444598724.pdf,2,2023,5.0,372865.0,-372860.0,-29783.0,-343077.0,-343077.0
REXP,771_1401444598724.pdf,3,2023,2.0,331367.5523809524,225633.08571428573,-47961.723809523806,272631.9903846154,2.0
REXP,771_1407921977128.pdf,2,2023,6.0,460266.0,-460260.0,-40703.0,-419557.0,-419557.0
REXP,771_1407921977128.pdf,3,2023,2.0,185748.0,-185746.0,-10925.0,-174821.0,-174821.0
REXP,771_1415876387806.pdf,2,2023,686189.0,452888.0,233301.0,-49145.0,282446.0,282446.0
REXP,771_1415876387806.pdf,3,2023,320332.0,214060.0,106272.0,-14611.0,120883.0,120883.0
REXP,771_1423820579922.pdf,2,2023,588666.0,414212.0,174454.0,-44560.0,219014.0,219014.0
REXP,771_1423820579922.pdf,3,2023,191892.0,144507.0,47385.0,-10759.0,58144.0,58144.0
REXP,771_1432893944370.pdf,2,2023,5.0,372865.0,-372860.0,-29783.0,-343077.0,-343077.0
REXP,771_1432893944370.pdf,3,2023,233938.0,166220.0,67718.0,-3742.0,71460.0,71460.0
REXP,771_1439544745043.pdf,2,2023,745511.0,501001.0,244510.0,-48255.0,292765.0,292765.0
REXP,771_1439544745043.pdf,3,2023,321828.0,216646.0,105182.0,-12470.0,117652.0,117652.0
REXP,771_1447235343844.pdf,2,2023,8.0,3.0,5.0,1.0,4.0,4.0
REXP,771_1447235343844.pdf,3,2023,3.0,214060.0,-214057.0,-11696.0,-202361.0,-202361.0
REXP,771_1455275141037.pdf,2,2023,725050.0,495360.0,229690.0,-55716.0,285406.0,285406.0
REXP,771_1455275141037.pdf,3,2023,2.0,16.0,-14.0,-10759.0,10745.0,10745.0
REXP,771_1464349470713.pdf,2,2023,723627.0,494081.0,229546.0,-49581.0,279127.0,279127.0
REXP,771_1464349470713.pdf,3,2023,2.0,0.0,2.0,-3742.0,3744.0,3744.0
REXP,771_1470995967550.pdf,2,2023,878450.0,576800.0,301650.0,-60169.0,361819.0,361819.0
REXP,771_1470995967550.pdf,3,2023,336398.0,217977.0,118421.0,-29.0,118450.0,118450.0
REXP,771_1478771451751.pdf,2,2023,1.0,723750.0,-723749.0,-57008.0,-666741.0,-666741.0
REXP,771_1478771451751.pdf,3,2023,3.0,4.0,-1.0,-14482.0,14481.0,14481.0
REXP,771_1487065755.pdf,2,2023,933769.0,616319.0,317450.0,5.0,317445.0,317445.0
REXP,771_1487065755.pdf,3,2023,2.0,167436.0,-167434.0,-10223.0,-157211.0,-157211.0
REXP,771_1496144616.pdf,2,2023,9.0,614361.0,-614352.0,-64855.0,-549497.0,-549497.0
REXP,771_1496144616.pdf,3,2023,2.0,170432.0,-170430.0,-2382.0,-168048.0,-168048.0
REXP,771_1502358762590.pdf,2,2023,1063039.0,689054.0,373985.0,-98720.0,472705.0,472705.0
REXP,771_1502358762590.pdf,3,2023,2.0,217977.0,-217975.0,-12879.0,-205096.0,-205096.0
REXP,771_1510568122040.pdf,2,2023,1073051.0,736797.0,336254.0,-84138.0,420392.0,420392.0
REXP,771_1510568122040.pdf,3,2023,2.0,201168.0,-201166.0,-11273.0,-189893.0,-189893.0
REXP,771_1518428508196.pdf,2,2023,1140362.0,616319.0,524043.0,13.0,524030.0,524030.0
REXP,771_1518428508196.pdf,3,2023,253225.0,2.0,253223.0,-8920.0,262143.0,262143.0
