company,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income,period_numeric,quarter,quarter_sort_key
DIPD,Q1 2013,699054.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2013.0,Q1,2013.0
REXP,Q1 2030,337790.0,185103.0,152687.0,6.0,152681.0,152681.0,2030.0,Q1,2030.0
REXP,Q1 2031,995275.0,13.0,995262.0,-64855.0,1060117.0,1060117.0,2031.0,Q1,2031.0
REXP,Q1 2031,264896.0,1.0,264895.0,-3403.0,268298.0,268298.0,2031.0,Q1,2031.0
REXP,Q1 2031,191793.0,158666.0,33127.0,-7764.0,2081.0,-18516.0,2031.0,Q1,2031.0
REXP,Q1 2031,495183.0,375238.0,119945.0,-43125.0,72527.0,33077.0,2031.0,Q1,2031.0
REXP,Q1 2031,4.0,376260.0,-376256.0,-21050.0,-355206.0,-355206.0,2031.0,Q1,2031.0
REXP,Q1 2031,151031.0,108179.0,42852.0,-526.0,43378.0,43378.0,2031.0,Q1,2031.0
REXP,Q1 2031,5.0,372865.0,-372860.0,-29783.0,-343077.0,-343077.0,2031.0,Q1,2031.0
REXP,Q1 2031,2.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,2.0,2031.0,Q1,2031.0
REXP,Q1 2031,723627.0,494081.0,229546.0,-49581.0,279127.0,279127.0,2031.0,Q1,2031.0
REXP,Q1 2031,233938.0,166220.0,67718.0,-3742.0,71460.0,71460.0,2031.0,Q1,2031.0
REXP,Q1 2031,5.0,372865.0,-372860.0,-29783.0,-343077.0,-343077.0,2031.0,Q1,2031.0
REXP,Q1 2031,2.0,170432.0,-170430.0,-2382.0,-168048.0,-168048.0,2031.0,Q1,2031.0
REXP,Q1 2031,9.0,614361.0,-614352.0,-64855.0,-549497.0,-549497.0,2031.0,Q1,2031.0
REXP,Q1 2031,3.0,244462.0,-244459.0,7.0,-244466.0,-244466.0,2031.0,Q1,2031.0
REXP,Q1 2031,1344850.0,3.0,1344847.0,-110574.0,1455421.0,1455421.0,2031.0,Q1,2031.0
REXP,Q1 2031,4.0,3.0,1.0,5.0,-4.0,-4.0,2031.0,Q1,2031.0
REXP,Q1 2031,1486128.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,-247409.0,2031.0,Q1,2031.0
REXP,Q1 2031,516552.0,36.0,516516.0,5.0,516511.0,516511.0,2031.0,Q1,2031.0
REXP,Q1 2031,1.0,1234766.0,-1234765.0,-3.0,-1234762.0,-1234762.0,2031.0,Q1,2031.0
REXP,Q1 2031,1282622.0,1.0,1282621.0,-75088.0,1357709.0,1357709.0,2031.0,Q1,2031.0
REXP,Q1 2031,3.0,186824.0,-186821.0,1959.0,-188780.0,-188780.0,2031.0,Q1,2031.0
REXP,Q1 2031,989411.0,687100.0,302311.0,-114938.0,417249.0,417249.0,2031.0,Q1,2031.0
REXP,Q1 2031,231850.0,157649.0,74201.0,7419.0,66782.0,66782.0,2031.0,Q1,2031.0
REXP,Q1 2031,2.0,0.0,2068056.5076923077,-3742.0,3034352.03626943,3744.0,2031.0,Q1,2031.0
REXP,Q1 2031,1604137.0,1037979.0,566158.0,-313782.0,879940.0,879940.0,2031.0,Q1,2031.0
REXP,Q1 2031,7.0,392511.0,-392504.0,-1660.0,-390844.0,-390844.0,2031.0,Q1,2031.0
