Source File,Page,Period,Line
670_1336993801.pdf,3,31.03.2012,Year to Year to Increase/ 03 months to 03 months to
670_1336993801.pdf,3,31.03.2012,31.03.2012 31.03.2011 (Decrease) 31.03.2012 31.03.2011
670_1336993801.pdf,3,31.03.2012,Rs.'000 Rs.'000 % Rs.'000 Rs.'000
670_1336993801.pdf,3,31.03.2012,"Turnover 19,786,485 14,869,245 33 5,246,735 3,954,846"
670_1336993801.pdf,3,31.03.2012,"Cost of sales (16,344,798) (12,392,742) 32 (4,274,775) (3,309,698)"
670_1336993801.pdf,3,31.03.2012,"Gross profit 3,441,687 2,476,503 39 971,960 645,148"
670_1336993801.pdf,3,31.03.2012,"Other income 1,216,982 62,716 1,840 38,497 6,001"
670_1336993801.pdf,3,31.03.2012,"Administrative expenses (1,568,996) (1,238,315) 27 (419,366) (336,146)"
670_1336993801.pdf,3,31.03.2012,"Distribution expenses (453,411) (363,011) 25 (130,147) (99,422)"
670_1336993801.pdf,3,31.03.2012,"Other expenses (12,935) (11,121) 16 (3,435) (4,366)"
670_1336993801.pdf,3,31.03.2012,"Net finance cost (212,111) (169,620) 25 (115,081) (196)"
670_1336993801.pdf,3,31.03.2012,"Share of profit / (loss) of equity accounted investee (net of tax) (27,067) (9,042) 199 - 29,152"
670_1336993801.pdf,3,31.03.2012,"Profit before tax 2,384,149 748,110 219 342,428 240,171"
670_1336993801.pdf,3,31.03.2012,"Income tax expense (290,168) (162,527) 79 (105,470) (58,749)"
670_1336993801.pdf,3,31.03.2012,"Profit for the year 2,093,981 585,583 258 236,958 181,422"
670_1336993801.pdf,3,31.03.2012,"Equity holders of the Company 1,866,627 446,614 318 136,352 122,968"
670_1336993801.pdf,3,31.03.2012,"Non-controlling interest 227,354 138,969 64 100,606 58,454"
670_1336993801.pdf,3,31.03.2012,"Profit for the year 2,093,981 585,583 258 236,958 181,422"
670_1336993801.pdf,3,31.03.2012,for the year (Rs.) * 31.18 7.46 2.28 2.05
670_1336993801.pdf,3,31.03.2012,for the year (Rs.) * 31.18 7.46 2.28 2.05
