Source File,Page,Period,Line
771_1338284920863.pdf,2,3 months ended 31st March 12 ,3 months ended 31st March 12 months ended 31st March
771_1338284920863.pdf,2,3 months ended 31st March 12 ,2012 2011 Change 2012 2011 Change
771_1338284920863.pdf,2,3 months ended 31st March 12 ,Rs. '000 Rs. '000 % Rs. '000 Rs. '000 %
771_1338284920863.pdf,2,3 months ended 31st March 12 ,"Revenue 495,183 462,215 7 1,963,900 1,754,323 12"
771_1338284920863.pdf,2,3 months ended 31st March 12 ,"Cost of Sales (375,238) (433,890) 14 (1,637,027) (1,598,325) (2)"
771_1338284920863.pdf,2,3 months ended 31st March 12 ,"Distribution Costs (43,125) (35,037) (23) (133,493) (106,431) (25)"
771_1338284920863.pdf,2,3 months ended 31st March 12 ,"Profit / (Loss) from Operations 72,527 (79,439) 191 142,820 (63,350) 325"
771_1338284920863.pdf,2,3 months ended 31st March 12 ,"Finance Cost (22,385) (12,734) (76) (58,738) (44,849) (31)"
771_1338284920863.pdf,2,3 months ended 31st March 12 ,"Share of Profit / (Loss) of Associate (13,687) (23,712) - (23,970) (23,712) -"
771_1338284920863.pdf,2,3 months ended 31st March 12 ,"Profit / (Loss) Before Tax 36,455 (115,885) 131 60,112 (131,911) 146"
771_1338284920863.pdf,2,3 months ended 31st March 12 ,"Profit / (Loss) for the Period from Continuing Operations 33,065 (111,916) 130 49,302 (131,839) 137"
771_1338284920863.pdf,2,3 months ended 31st March 12 ,"Loss after tax for the period from discontinued operations 12 (6,566) 100 (142) (7,538) 98"
771_1338284920863.pdf,2,3 months ended 31st March 12 ,"Profit / (Loss) for the period 33,077 (118,482) 128 49,160 (139,377) 135"
771_1338284920863.pdf,2,3 months ended 31st March 12 ,Earnings / (Loss) Per Share 2.44 (6.19) 3.62 (6.49)
771_1338284920863.pdf,2,3 months ended 31st March 12 ,Earnings / (Loss) Per Share from Continuing Operations 2.44 (5.61) 3.63 (5.82)
771_1338284920863.pdf,3,3 months ended 31st March 12 ,3 months ended 31st March 12 months ended 31st March
771_1338284920863.pdf,3,3 months ended 31st March 12 ,2012 2011 Change 2012 2011 Change
771_1338284920863.pdf,3,3 months ended 31st March 12 ,Rs. '000 Rs. '000 % Rs. '000 Rs. '000 %
771_1338284920863.pdf,3,3 months ended 31st March 12 ,"Revenue 191,793 226,495 (15) 900,538 918,381 (2)"
771_1338284920863.pdf,3,3 months ended 31st March 12 ,"Cost of Sales (158,666) (205,746) 23 (777,397) (810,191) 4"
771_1338284920863.pdf,3,3 months ended 31st March 12 ,"Distribution Costs (7,764) (12,429) 38 (32,244) (43,362) 26"
771_1338284920863.pdf,3,3 months ended 31st March 12 ,"Profit / (Loss) from Operations 2,081 523 298 46,099 30,656 50"
771_1338284920863.pdf,3,3 months ended 31st March 12 ,"Finance Cost (17,756) (7,080) (151) (37,267) (23,136) (61)"
771_1338284920863.pdf,3,3 months ended 31st March 12 ,"Profit / (Loss) before Tax (15,675) (6,557) (139) 8,832 7,520 17"
771_1338284920863.pdf,3,3 months ended 31st March 12 ,"Profit / (Loss) Attributable to Ordinary Shareholders (18,516) (4,599) (303) 1,291 5,978 (78)"
771_1338284920863.pdf,3,3 months ended 31st March 12 ,Earnings Per Share (1.66) (0.41) 0.12 0.54
771_1344331016796.pdf,2,2012 2011 Change,3 months ended 30th June
771_1344331016796.pdf,2,2012 2011 Change,Rs. '000 Rs. '000 % Rs. '000
771_1344331016796.pdf,2,2012 2011 Change,"Revenue 605,644 358,537 69 1,963,900"
771_1344331016796.pdf,2,2012 2011 Change,"Cost of Sales (476,171) (322,023) (48) (1,637,027)"
771_1344331016796.pdf,2,2012 2011 Change,"Distribution Costs (35,432) (18,792) (89) (133,493)"
771_1344331016796.pdf,2,2012 2011 Change,"Profit / (Loss) from Operations 81,051 5,713 1,319 142,820"
771_1344331016796.pdf,2,2012 2011 Change,"Finance Cost (10,495) (10,351) (1) (58,738)"
771_1344331016796.pdf,2,2012 2011 Change,"Share of Profit / (Loss) of Associate (3,164) (5,335) - (23,970)"
771_1344331016796.pdf,2,2012 2011 Change,"Profit / (Loss) Before Tax 67,392 (9,974) 776 60,112"
771_1344331016796.pdf,2,2012 2011 Change,"Taxation (6,935) - - (10,810)"
771_1344331016796.pdf,2,2012 2011 Change,"Profit / (Loss) for the Period from continuing operations 60,457 (9,974) 706 49,302"
771_1344331016796.pdf,2,2012 2011 Change,Loss after tax for the period from discontinued operations (27) (69) (142)
771_1344331016796.pdf,2,2012 2011 Change,"Profit / (Loss) for the period 60,430 (10,043) 49,160"
771_1344331016796.pdf,2,2012 2011 Change,Earnings / (Loss) Per Share 3.25 (0.99) 3.62
771_1344331016796.pdf,2,2012 2011 Change,Earnings / (Loss) Per Share from continuing operations 3.25 (0.98) 3.63
771_1344331016796.pdf,3,2012 2011 Change,3 months ended 30th June
771_1344331016796.pdf,3,2012 2011 Change,Rs. '000 Rs. '000 % Rs. '000
771_1344331016796.pdf,3,2012 2011 Change,"Revenue 251,174 149,248 68 900,538"
771_1344331016796.pdf,3,2012 2011 Change,"Cost of Sales (202,405) (136,829) (48) (777,397)"
771_1344331016796.pdf,3,2012 2011 Change,"Distribution Costs (12,807) (7,848) (63) (32,244)"
771_1344331016796.pdf,3,2012 2011 Change,"Profit / (Loss) from Operations 31,321 (2,814) 1,213 46,099"
771_1344331016796.pdf,3,2012 2011 Change,"Profit / (Loss) before Tax 23,522 (6,990) 437 8,832"
771_1344331016796.pdf,3,2012 2011 Change,"Taxation (2,823) - - (7,541)"
771_1344331016796.pdf,3,2012 2011 Change,"Profit / (Loss) Attributable to Ordinary Shareholders 20,699 (6,990) 396 1,291"
771_1344331016796.pdf,3,2012 2011 Change,Earnings Per Share 1.85 (0.63) 0.12
771_1352889712126.pdf,2,2012 2011 Change,3 months ended 30th September 6 months ended 30th September
771_1352889712126.pdf,2,2012 2011 Change,2012 2011 Change 2012 2011 Change
771_1352889712126.pdf,2,2012 2011 Change,Rs. '000 Rs. '000 % Rs. '000 Rs. '000 %
771_1352889712126.pdf,2,2012 2011 Change,"Revenue 693,255 515,859 34 1,298,899 874,396 49"
771_1352889712126.pdf,2,2012 2011 Change,"Cost of Sales (525,478) (455,667) (15) (1,001,649) (777,690) (29)"
771_1352889712126.pdf,2,2012 2011 Change,"Distribution Costs (38,446) (23,061) (67) (73,878) (41,796) (77)"
771_1352889712126.pdf,2,2012 2011 Change,"Profit / (Loss) from Operations 111,015 24,110 360 192,066 29,823 544"
771_1352889712126.pdf,2,2012 2011 Change,"Share of Profit / (Loss) of Associate (3,295) 260 (1,367) (6,459) (5,075) (27)"
771_1352889712126.pdf,2,2012 2011 Change,"Profit / (Loss) Before Tax 101,419 13,510 651 168,811 3,537 4,673"
771_1352889712126.pdf,2,2012 2011 Change,"Profit / (Loss) for the Period from Continuing Operations 91,158 12,936 605 151,615 2,963 5,017"
771_1352889712126.pdf,2,2012 2011 Change,Loss after tax for the period from discontinued operations (27) (42) 35 (54) (111) 51
771_1352889712126.pdf,2,2012 2011 Change,"Profit / (Loss) for the period 91,131 12,894 151,561 2,852"
771_1352889712126.pdf,2,2012 2011 Change,Earnings / (Loss) Per Share 4.62 0.77 7.87 (0.21)
771_1352889712126.pdf,2,2012 2011 Change,Earnings / (Loss) Per Share from Continuing Operations 4.63 0.78 7.88 (0.21)
771_1352889712126.pdf,3,2012 2011 Change,3 months ended 30th September 6 months ended 30thSeptember
771_1352889712126.pdf,3,2012 2011 Change,2012 2011 Change 2012 2011 Change
771_1352889712126.pdf,3,2012 2011 Change,Rs. '000 Rs. '000 % Rs. '000 Rs. '000 %
